date,close,log_return,realized_vol,ma_50,ma_200,tau_t,k_star_proxy,z_t
2024-07-08 04:00:00,34.6,0.0,0.4057867058257822,37.2098,35.71805,1.0,35.429500000000004,-4.372450000000008
2024-07-09 04:00:00,33.9,-0.02043866767727407,0.3953390258932811,37.0496,35.69755,1.0,35.346,-4.980600000000003
2024-07-10 04:00:00,34.27,0.010855321500113074,0.38384768078044873,36.8966,35.68325,1.0,35.2035,-4.453849999999996
2024-07-11 04:00:00,35.46,0.03413496475954438,0.40556871294135977,36.7568,35.67595,1.0,35.112,-3.1632000000000033
2024-07-12 04:00:00,35.5,0.0011273958353081857,0.38672101511658885,36.6898,35.66205,1.0,35.0675,-3.0742500000000064
2024-07-15 04:00:00,36.64,0.03160784332455932,0.39681505367865794,36.679,35.6559,1.0,35.1365,-2.010150000000003
2024-07-16 04:00:00,36.7,0.0016362152545950318,0.3784101784487156,36.66,35.63845,1.0,35.2685,-2.0953500000000034
2024-07-17 04:00:00,36.65,-0.0013633267278641645,0.3613676168527716,36.628,35.6186,1.0,35.399,-2.2889000000000053
2024-07-18 04:00:00,36.2,-0.012354309500935011,0.3515502936250428,36.5672,35.604,1.0,35.502500000000005,-2.8527500000000074
2024-07-19 04:00:00,35.64,-0.015590516229116861,0.3442803790684961,36.493399999999994,35.5997,1.0,35.539500000000004,-3.4534500000000037
2024-07-22 04:00:00,35.38,-0.0073219138709692535,0.3298911392761063,36.4228,35.5954,1.0,35.592,-3.7712000000000003
2024-07-23 04:00:00,34.27,-0.031876352845121685,0.34619479300370765,36.3142,35.6004,1.0,35.4895,-4.768450000000001
2024-07-24 04:00:00,33.85,-0.012331336528233495,0.3325079888601581,36.2264,35.60274999999999,1.0,35.3855,-5.07405
2024-07-25 04:00:00,34.66,0.02364728492917579,0.3433437623122448,36.158,35.60295,1.0,35.3525,-4.2277500000000074
2024-07-26 04:00:00,35.0,0.009761777201953833,0.3319363501553331,36.084,35.590450000000004,1.0,35.3375,-3.8712500000000034
2024-07-29 04:00:00,34.12,-0.025464338865935417,0.3366739015181021,35.993,35.57245,1.0,35.271,-4.678100000000008
2024-07-30 04:00:00,34.94,0.02374858208243217,0.3447579729225886,35.9274,35.55915,1.0,35.237,-3.8207000000000093
2024-07-31 04:00:00,35.59,0.01843239481619104,0.3406694004068029,35.8554,35.549299999999995,1.0,35.2215,-3.153649999999999
2024-08-01 04:00:00,33.42,-0.06291017635485366,0.441519712178066,35.7324,35.520250000000004,1.0,35.069500000000005,-5.156450000000007
2024-08-02 04:00:00,29.94,-0.10995914417576534,0.6474317773383069,35.5518,35.470099999999995,1.0,34.8365,-8.380150000000004
2024-08-05 04:00:00,28.31,-0.05598027986767414,0.6472926632845023,35.361999999999995,35.40725,-1.0,34.522000000000006,-9.664200000000012
2024-08-06 04:00:00,28.51,0.007039803800772486,0.6282846345924822,35.193799999999996,35.342600000000004,-1.0,34.252500000000005,-9.167750000000009
2024-08-07 04:00:00,28.9,0.013586692193805731,0.6146410473285238,35.0292,35.28055,-1.0,33.984,-8.482400000000005
2024-08-08 04:00:00,30.67,0.05944338300777384,0.6772790122012776,34.8766,35.23465,-1.0,33.7445,-6.4489500000000035
2024-08-09 04:00:00,30.64,-0.0009786332537696184,0.6462872029024583,34.7496,35.19435000000001,-1.0,33.5015,-6.211650000000006
2024-08-12 04:00:00,31.51,0.02799861089679276,0.6364505087431829,34.634,35.1613,-1.0,33.245000000000005,-5.059500000000003
2024-08-13 04:00:00,30.86,-0.02084410883416853,0.6125700896819939,34.473600000000005,35.12565,-1.0,32.952999999999996,-5.388300000000001
2024-08-14 04:00:00,31.05,0.006137961444472946,0.5862100971544146,34.365,35.092549999999996,-1.0,32.673,-4.890300000000007
2024-08-15 04:00:00,32.19,0.03605703693122901,0.5889026502881776,34.3002,35.07035,-1.0,32.4725,-3.52975
2024-08-16 04:00:00,31.92,-0.008423072729108638,0.5628759311632542,34.226,35.0481,-1.0,32.286500000000004,-3.595150000000004
